    Xi (deg)   Xn       delMag   No. in bin
    -0.200    -0.020    -0.015       0
    -0.180    -0.020    -0.015       0
    -0.160    -0.020    -0.015       0
    -0.140    -0.020    -0.015       0
    -0.120    -0.020    -0.015       0
    -0.100    -0.020    -0.015       0
    -0.080    -0.020    -0.015       0
    -0.060    -0.020    -0.015       0
    -0.040    -0.020    -0.015       0
    -0.020    -0.020    -0.015       0
     0.000    -0.020     0.000       0
     0.020    -0.020    -0.002       0
     0.040    -0.020    -0.002       0
     0.060    -0.020    -0.002       0
     0.080    -0.020    -0.002       0
     0.100    -0.020    -0.002       0
     0.120    -0.020    -0.002       0
     0.140    -0.020    -0.002       0
     0.160    -0.020    -0.002       0
     0.180    -0.020    -0.002       0
     0.200    -0.020    -0.002       0
     0.220    -0.020    -0.002       0
     0.240    -0.020    -0.002       0
     0.260    -0.020    -0.002       0
     0.280    -0.020    -0.002       0
     0.300    -0.020    -0.002       0
     0.320    -0.020    -0.002       0
     0.340    -0.020    -0.002       0
    -0.340     0.000    -0.000       0
    -0.320     0.000     0.000       0
    -0.300     0.000     0.000       0
    -0.280     0.000    -0.000       0
    -0.260     0.000    -0.000       0
    -0.240     0.000    -0.000       0
    -0.220     0.000     0.000       0
    -0.200     0.000     0.000       0
    -0.180     0.000    -0.000       0
    -0.160     0.000     0.000       0
    -0.140     0.000    -0.000       0
    -0.120     0.000     0.000       0
    -0.100     0.000    -0.000       0
    -0.080     0.000    -0.000       0
    -0.060     0.000     0.000       0
    -0.040     0.000     0.000       0
    -0.020     0.000     0.000       0
     0.000     0.000     0.000       0
     0.020     0.000     0.000       0
     0.040     0.000     0.000       0
     0.060     0.000     0.000       0
     0.080     0.000    -0.000       0
     0.100     0.000     0.000       0
     0.120     0.000     0.000       0
     0.140     0.000     0.000       0
     0.160     0.000    -0.000       0
     0.180     0.000     0.000       0
     0.200     0.000    -0.000       0
     0.220     0.000     0.000       0
     0.240     0.000     0.000       0
     0.260     0.000     0.000       0
     0.280     0.000     0.000       0
     0.300     0.000     0.000       0
     0.320     0.000     0.000       0
     0.340     0.000     0.000       0
    -0.340     0.020    -0.005       0
    -0.320     0.020    -0.005       0
    -0.300     0.020    -0.005       0
    -0.280     0.020    -0.005       0
    -0.260     0.020    -0.005       0
    -0.240     0.020    -0.005       0
    -0.220     0.020    -0.005       0
    -0.200     0.020    -0.005       0
    -0.180     0.020    -0.005       0
    -0.160     0.020    -0.005       0
    -0.140     0.020    -0.005       0
    -0.120     0.020    -0.005       0
    -0.100     0.020    -0.005       0
    -0.080     0.020    -0.005       0
    -0.060     0.020    -0.005       0
    -0.040     0.020    -0.005       0
    -0.020     0.020    -0.005       0
     0.000     0.020     0.000       0
     0.020     0.020     0.022       0
     0.040     0.020     0.022       0
     0.060     0.020     0.022       0
     0.080     0.020     0.022       0
     0.100     0.020     0.022       0
     0.120     0.020     0.022       0
     0.140     0.020     0.022       0
     0.160     0.020     0.022       0
     0.180     0.020     0.022       0
     0.200     0.020     0.022       0
     0.220     0.020     0.022       0
     0.240     0.020     0.022       0
     0.260     0.020     0.022       0
     0.280     0.020     0.022       0
     0.300     0.020     0.022       0
     0.320     0.020     0.022       0
     0.340     0.020     0.022       0
    -0.340     0.040    -0.005       0
    -0.320     0.040    -0.005       0
    -0.300     0.040    -0.005       0
    -0.280     0.040    -0.005       0
    -0.260     0.040    -0.005       0
    -0.240     0.040    -0.005       0
    -0.220     0.040    -0.005       0
    -0.200     0.040    -0.005       0
    -0.180     0.040    -0.005       0
    -0.160     0.040    -0.005       0
    -0.140     0.040    -0.005       0
    -0.120     0.040    -0.005       0
    -0.100     0.040    -0.005       0
    -0.080     0.040    -0.005       0
    -0.060     0.040    -0.005       0
