    Xi (deg)   Xn       delMag   No. in bin
     0.120    -0.080    -0.011       0
     0.140    -0.080    -0.008       0
     0.160    -0.080    -0.007       0
     0.180    -0.080    -0.010       0
     0.200    -0.080    -0.013       0
     0.220    -0.080    -0.016       0
     0.240    -0.080    -0.017       0
     0.260    -0.080    -0.016       0
     0.280    -0.080    -0.017       0
     0.300    -0.080    -0.020       0
     0.320    -0.080    -0.028       0
     0.340    -0.080    -0.035       0
    -0.340    -0.060    -0.006       0
    -0.320    -0.060    -0.005       0
    -0.300    -0.060    -0.004       0
    -0.280    -0.060    -0.002       0
    -0.260    -0.060    -0.000       0
    -0.240    -0.060     0.002       0
    -0.220    -0.060     0.004       0
    -0.200    -0.060     0.005       0
    -0.180    -0.060     0.006       0
    -0.160    -0.060     0.007       0
    -0.140    -0.060     0.008       0
    -0.120    -0.060     0.010       0
    -0.100    -0.060     0.010       0
    -0.080    -0.060     0.010       0
    -0.060    -0.060     0.010       0
    -0.040    -0.060     0.010       0
    -0.020    -0.060     0.010       0
     0.000    -0.060     0.000       0
     0.020    -0.060    -0.004       0
     0.040    -0.060    -0.004       0
     0.060    -0.060    -0.004       0
     0.080    -0.060    -0.005       0
     0.100    -0.060    -0.007       0
     0.120    -0.060    -0.007       0
     0.140    -0.060    -0.006       0
     0.160    -0.060    -0.005       0
     0.180    -0.060    -0.007       0
     0.200    -0.060    -0.009       0
     0.220    -0.060    -0.010       0
     0.240    -0.060    -0.010       0
     0.260    -0.060    -0.010       0
     0.280    -0.060    -0.011       0
     0.300    -0.060    -0.012       0
     0.320    -0.060    -0.016       0
     0.340    -0.060    -0.019       0
    -0.340    -0.040     0.010       0
    -0.320    -0.040     0.010       0
    -0.300    -0.040     0.010       0
    -0.280    -0.040     0.010       0
    -0.260    -0.040     0.010       0
    -0.240    -0.040     0.010       0
    -0.220    -0.040     0.010       0
    -0.200    -0.040     0.010       0
    -0.180    -0.040     0.010       0
    -0.160    -0.040     0.010       0
    -0.140    -0.040     0.010       0
    -0.120    -0.040     0.010       0
    -0.100    -0.040     0.010       0
    -0.080    -0.040     0.010       0
    -0.060    -0.040     0.010       0
    -0.040    -0.040     0.010       0
    -0.020    -0.040     0.010       0
     0.000    -0.040     0.000       0
     0.020    -0.040    -0.004       0
     0.040    -0.040    -0.004       0
     0.060    -0.040    -0.004       0
     0.080    -0.040    -0.004       0
     0.100    -0.040    -0.004       0
     0.120    -0.040    -0.004       0
     0.140    -0.040    -0.004       0
     0.160    -0.040    -0.004       0
     0.180    -0.040    -0.004       0
     0.200    -0.040    -0.004       0
     0.220    -0.040    -0.004       0
     0.240    -0.040    -0.004       0
     0.260    -0.040    -0.004       0
     0.280    -0.040    -0.004       0
     0.300    -0.040    -0.004       0
     0.320    -0.040    -0.004       0
     0.340    -0.040    -0.004       0
    -0.340    -0.020     0.010       0
    -0.320    -0.020     0.010       0
    -0.300    -0.020     0.010       0
    -0.280    -0.020     0.010       0
    -0.260    -0.020     0.010       0
    -0.240    -0.020     0.010       0
    -0.220    -0.020     0.010       0
    -0.200    -0.020     0.010       0
    -0.180    -0.020     0.010       0
    -0.160    -0.020     0.010       0
    -0.140    -0.020     0.010       0
    -0.120    -0.020     0.010       0
    -0.100    -0.020     0.010       0
    -0.080    -0.020     0.010       0
    -0.060    -0.020     0.010       0
    -0.040    -0.020     0.010       0
    -0.020    -0.020     0.010       0
     0.000    -0.020     0.000       0
     0.020    -0.020    -0.004       0
     0.040    -0.020    -0.004       0
     0.060    -0.020    -0.004       0
     0.080    -0.020    -0.004       0
     0.100    -0.020    -0.004       0
     0.120    -0.020    -0.004       0
     0.140    -0.020    -0.004       0
     0.160    -0.020    -0.004       0
     0.180    -0.020    -0.004       0
     0.200    -0.020    -0.004       0
     0.220    -0.020    -0.004       0
     0.240    -0.020    -0.004       0
     0.260    -0.020    -0.004       0
     0.280    -0.020    -0.004       0
     0.300    -0.020    -0.004       0
     0.320    -0.020    -0.004       0
     0.340    -0.020    -0.004       0
    -0.340     0.000     0.000       0
    -0.320     0.000    -0.000       0
    -0.300     0.000    -0.000       0
    -0.280     0.000    -0.000       0
    -0.260     0.000     0.000       0
    -0.240     0.000     0.000       0
    -0.220     0.000    -0.000       0
    -0.200     0.000     0.000       0
    -0.180     0.000    -0.000       0
    -0.160     0.000    -0.000       0
    -0.140     0.000    -0.000       0
    -0.120     0.000     0.000       0
    -0.100     0.000     0.000       0
    -0.080     0.000     0.000       0
    -0.060     0.000     0.000       0
    -0.040     0.000     0.000       0
    -0.020     0.000     0.000       0
     0.000     0.000     0.000       0
     0.020     0.000     0.000       0
     0.040     0.000     0.000       0
     0.060     0.000     0.000       0
     0.080     0.000    -0.000       0
     0.100     0.000    -0.000       0
     0.120     0.000     0.000       0
     0.140     0.000     0.000       0
     0.160     0.000     0.000       0
     0.180     0.000     0.000       0
     0.200     0.000     0.000       0
     0.220     0.000     0.000       0
     0.240     0.000    -0.000       0
     0.260     0.000     0.000       0
     0.280     0.000     0.000       0
     0.300     0.000    -0.000       0
     0.320     0.000     0.000       0
     0.340     0.000     0.000       0
    -0.340     0.020    -0.042       0
    -0.320     0.020    -0.042       0
    -0.300     0.020    -0.042       0
    -0.280     0.020    -0.042       0
    -0.260     0.020    -0.042       0
    -0.240     0.020    -0.042       0
    -0.220     0.020    -0.042       0
    -0.200     0.020    -0.042       0
    -0.180     0.020    -0.042       0
    -0.160     0.020    -0.042       0
    -0.140     0.020    -0.042       0
    -0.120     0.020    -0.042       0
    -0.100     0.020    -0.042       0
    -0.080     0.020    -0.042       0
    -0.060     0.020    -0.042       0
    -0.040     0.020    -0.042       0
    -0.020     0.020    -0.042       0
     0.000     0.020     0.000       0
     0.020     0.020     0.008       0
     0.040     0.020     0.008       0
     0.060     0.020     0.008       0
     0.080     0.020     0.008       0
     0.100     0.020     0.008       0
     0.120     0.020     0.008       0
     0.140     0.020     0.008       0
     0.160     0.020     0.008       0
