Name RA DEC l b Epoch
BLG499 17:20:10 -30:19:00 355:49:35 03:53:09 2000.0
BLG988 17:12:40 -37:13:45 349:16:53 01:09:18 2000.0
BLG989 17:12:40 -38:27:35 348:17:10 00:25:53 2000.0
BLG990 17:12:40 -39:41:25 347:17:28 00:17:34 2000.0
BLG991 17:12:20 -40:55:15 346:15:32 00:57:57 2000.0
BLG992 17:11:50 -42:09:05 345:12:33 -01:36:55 2000.0
BLG924 17:19:00 -37:50:40 349:30:38 00:13:27 2000.0
BLG925 17:19:00 -39:04:30 348:30:11 00:55:51 2000.0
BLG926 17:19:00 -40:18:20 347:29:43 -01:38:14 2000.0
BLG927 17:18:35 -41:32:10 346:26:31 -02:16:46 2000.0
BLG986 17:18:10 -42:46:00 345:23:22 -02:55:24 2000.0
BLG987 17:17:45 -43:59:50 344:20:14 -03:34:07 2000.0
BLG928 17:26:35 -37:13:45 350:52:08 -01:06:54 2000.0
BLG929 17:26:05 -38:27:35 349:47:33 -01:43:12 2000.0
BLG930 17:25:45 -39:41:25 348:44:07 -02:21:15 2000.0
BLG931 17:25:25 -40:55:15 347:40:42 -02:59:22 2000.0
BLG981 17:25:05 -42:09:05 346:37:17 -03:37:32 2000.0
BLG982 17:24:45 -43:22:55 345:33:51 -04:15:45 2000.0
BLG983 17:24:25 -44:36:45 344:30:24 -04:53:60 2000.0
BLG671 17:33:37 -35:23:00 353:11:25 -01:16:52 2000.0
BLG673 17:32:38 -37:50:40 351:01:01 -02:27:17 2000.0
BLG674 17:32:13 -39:04:30 349:56:22 -03:03:24 2000.0
BLG932 17:31:48 -40:18:20 348:51:43 -03:39:36 2000.0
BLG933 17:31:23 -41:32:10 347:47:05 -04:15:52 2000.0
BLG984 17:31:30 -42:46:00 346:45:38 -04:57:08 2000.0
BLG985 17:31:30 -43:59:50 345:43:21 -05:37:11 2000.0
BLG681 17:38:48 -38:27:35 351:09:01 -03:48:28 2000.0
BLG682 17:38:29 -39:41:25 350:04:19 -04:24:30 2000.0
BLG934 17:38:13 -40:55:15 348:59:52 -05:01:03 2000.0
BLG935 17:37:55 -42:09:05 347:55:10 -05:37:17 2000.0
BLG607 17:45:01 -39:04:30 351:15:40 -05:09:44 2000.0
BLG608 17:44:48 -40:18:20 350:10:50 -05:45:41 2000.0
BLG936 17:44:42 -41:32:10 349:06:35 -06:22:42 2000.0
BLG937 17:44:31 -42:46:00 348:01:43 -06:58:51 2000.0
BLG601 17:51:17 -38:27:35 352:25:06 -05:53:57 2000.0
BLG602 17:51:11 -39:41:25 351:20:19 -06:30:04 2000.0
BLG938 17:51:18 -40:55:15 350:16:37 -07:08:11 2000.0
BLG939 17:51:14 -42:09:05 349:11:42 -07:44:21 2000.0
BLG940 17:51:11 -43:22:55 348:06:42 -08:20:33 2000.0
BLG537 17:57:30 -37:50:40 353:33:60 -06:39:14 2000.0
BLG538 17:57:30 -39:04:30 352:29:09 -07:15:24 2000.0
BLG941 17:57:33 -40:18:20 351:24:24 -07:51:54 2000.0
BLG942 17:57:47 -41:32:10 350:20:28 -08:30:02 2000.0
BLG943 17:57:50 -42:46:00 349:15:17 -09:06:07 2000.0
BLG540 18:03:36 -37:13:45 354:41:58 -07:24:49 2000.0
BLG541 18:03:42 -38:27:35 353:37:04 -08:01:06 2000.0
BLG944 18:03:48 -39:41:25 352:31:57 -08:37:11 2000.0
BLG945 18:03:58 -40:55:15 351:26:59 -09:13:43 2000.0
BLG946 18:04:19 -42:09:05 350:22:43 -09:51:48 2000.0
BLG947 18:04:30 -43:22:55 349:17:16 -10:27:56 2000.0
BLG598 18:09:22 -35:23:00 356:53:39 -07:33:40 2000.0
BLG948 18:09:33 -36:36:50 355:48:51 -08:10:13 2000.0
BLG949 18:09:45 -37:50:40 354:43:55 -08:46:44 2000.0
BLG950 18:09:57 -39:04:30 353:38:44 -09:22:59 2000.0
BLG951 18:10:10 -40:18:20 352:33:23 -09:59:07 2000.0
BLG952 18:10:27 -41:32:10 351:28:05 -10:35:39 2000.0
BLG953 18:10:55 -42:46:00 350:23:23 -11:13:38 2000.0
BLG954 18:11:14 -43:59:50 349:17:35 -11:49:46 2000.0
BLG955 18:11:35 -45:13:40 348:11:34 -12:25:50 2000.0
BLG548 18:15:07 -34:46:05 357:59:46 -08:19:01 2000.0
BLG956 18:15:22 -35:59:55 356:54:48 -08:55:32 2000.0
BLG957 18:15:39 -37:13:45 355:49:45 -09:32:09 2000.0
BLG958 18:15:57 -38:27:35 354:44:30 -10:08:39 2000.0
BLG959 18:16:15 -39:41:25 353:38:57 -10:44:49 2000.0
BLG960 18:16:40 -40:55:15 352:33:41 -11:21:50 2000.0
BLG961 18:17:15 -42:09:05 351:28:52 -12:00:07 2000.0
BLG962 18:17:50 -43:22:55 350:23:38 -12:37:56 2000.0
BLG963 18:18:20 -44:36:45 349:17:33 -13:14:27 2000.0
BLG712 17:52:07 -24:55:25 4:11:06 00:49:36 2000.0
BLG713 17:57:30 -24:18:30 5:20:03 00:04:54 2000.0
BLG658 18:20:08 -31:41:30 1:14:37 -07:50:29 2000.0
BLG684 18:20:26 -32:55:20 0:09:56 -08:27:26 2000.0
BLG685 18:20:44 -34:09:10 359:04:58 -09:04:06 2000.0
BLG686 18:21:04 -35:23:00 357:59:56 -09:40:51 2000.0
BLG687 18:25:31 -31:04:35 2:19:21 -08:35:19 2000.0
BLG688 18:25:53 -32:18:25 1:14:34 -09:12:25 2000.0
BLG689 18:26:16 -33:32:15 0:09:35 -09:49:24 2000.0
BLG690 18:26:39 -34:46:05 359:04:18 -10:26:03 2000.0
BLG691 18:30:14 -28:00:00 5:34:04 -08:07:58 2000.0
BLG692 18:30:32 -29:13:50 4:28:58 -08:44:19 2000.0
BLG693 18:30:50 -30:27:40 3:23:37 -09:20:22 2000.0
BLG694 18:31:14 -31:41:30 2:18:33 -09:57:18 2000.0
BLG695 18:31:40 -32:55:20 1:13:22 -10:34:17 2000.0
BLG696 18:32:08 -34:09:10 0:08:01 -11:11:16 2000.0
BLG697 18:32:36 -35:23:00 359:02:20 -11:47:52 2000.0
BLG698 18:35:32 -27:23:05 6:39:01 -08:54:48 2000.0
BLG699 18:35:46 -28:36:55 5:33:06 -09:29:50 2000.0
BLG700 18:36:08 -29:50:45 4:27:42 -10:06:11 2000.0
BLG701 18:36:31 -31:04:35 3:22:05 -10:42:23 2000.0
BLG702 18:36:59 -32:18:25 2:16:37 -11:19:13 2000.0
BLG703 18:37:30 -33:32:15 1:11:03 -11:56:13 2000.0
BLG704 18:38:03 -34:46:05 0:05:16 -12:33:11 2000.0
BLG760 18:03:24 -21:13:55 8:40:47 00:25:43 2000.0
BLG761 18:03:14 -22:27:45 7:35:22 00:08:36 2000.0
BLG716 18:03:00 -23:41:35 6:29:32 00:42:10 2000.0
BLG762 18:08:45 -19:25:10 10:52:26 00:13:10 2000.0
BLG763 18:08:39 -20:37:00 9:48:56 00:20:26 2000.0
BLG764 18:08:31 -21:50:50 8:43:27 00:54:36 2000.0
BLG765 18:13:52 -20:00:05 10:56:38 -01:06:58 2000.0
BLG542 18:13:47 -21:13:55 9:51:12 -01:41:14 2000.0
BLG656 18:19:02 -21:50:50 9:53:27 -03:03:14 2000.0
BLG550 18:24:18 -22:27:45 9:54:57 -04:25:11 2000.0
BLG551 18:24:24 -23:41:35 8:49:54 -05:00:31 2000.0
BLG552 18:24:30 -24:55:25 7:44:43 -05:35:45 2000.0
BLG553 18:24:36 -26:09:15 6:39:23 -06:10:49 2000.0
BLG554 18:24:43 -27:23:05 5:33:60 -06:45:56 2000.0
BLG555 18:24:58 -28:36:55 4:29:14 -07:22:26 2000.0
BLG556 18:25:12 -29:50:45 3:24:10 -07:58:31 2000.0
