         name |     RA    |     Dec   |       name     |     RA    |     Dec   |  offset | ukirtDetect |   correctT0 | 
2015-BLG-0912 | 265.95758 | -26.51994 | UK2018_n1_3_4_H_C46272 | 265.95763 | -26.52000 |    0.25 |   0 |   0 | 
2015-BLG-0914 | 269.31175 | -29.76014 | UK2018_s6_2_2_H_C26069 | 269.31176 | -29.76015 |    0.05 |   0 |   0 | 
2015-BLG-0916 | 269.23275 | -28.99144 | UK2018_s6_3_3_H_C67410 | 269.23278 | -28.99151 |    0.25 |   0 |   0 | 
2015-BLG-0931 | 268.35654 | -28.84050 | UK2018_s4_1_2_H_C37354 | 268.35675 | -28.84014 |    1.45 |   0 |   0 | 
2015-BLG-0934 | 267.41279 | -30.24528 | UK2018_s2_2_3_K_C14118 | 267.41262 | -30.24522 |    0.57 |   0 |   0 | 
2015-BLG-0935 | 268.75717 | -29.33911 | UK2018_s6_2_4_H_C26079 | 268.75734 | -29.33954 |    1.64 |   0 |   0 | 
2015-BLG-0944 | 265.25800 | -27.85381 | UK2018_n2_3_1_H_C41178 | 265.25796 | -27.85383 |    0.15 |   0 |   0 | 
2015-BLG-0946 | 268.67329 | -28.89292 | UK2018_s4_2_2_H_C21797 | 268.67373 | -28.89294 |    1.38 |   0 |   0 | 
2015-BLG-0947 | 268.38000 | -28.67911 | UK2018_s4_4_2_H_C21359 | 268.38036 | -28.67918 |    1.16 |   0 |   0 | 
2015-BLG-0958 | 267.75496 | -28.41686 | UK2018_c3_2_3_K_C35761 | 267.75554 | -28.41670 |    1.93 |   0 |   0 | 
2015-BLG-0959 | 267.45017 | -28.49450 | UK2018_c3_1_3_K_C9149 | 267.44985 | -28.49495 |    1.90 |   0 |   0 | 
2015-BLG-0960 | 268.11175 | -28.03297 | UK2018_s1_2_2_K_C15701 | 268.11181 | -28.03299 |    0.20 |   0 |   0 | 
2015-BLG-0963 | 268.78650 | -27.60378 | UK2018_s3_1_3_H_C13516 | 268.78652 | -27.60381 |    0.13 |   0 |   0 | 
2015-BLG-0964 | 269.37867 | -29.32664 | UK2018_s6_2_3_H_C26646 | 269.37891 | -29.32665 |    0.76 |   0 |   0 | 
2015-BLG-0966 | 268.75425 | -29.04711 | UK2018_s6_3_4_H_C50940 | 268.75437 | -29.04713 |    0.38 |   0 |   0 | 
2015-BLG-0987 | 268.19371 | -28.36122 | UK2018_s4_2_4_H_C53637 | 268.19331 | -28.36125 |    1.27 |   0 |   0 | 
2015-BLG-0999 | 269.04529 | -29.40181 | UK2018_s6_1_3_H_C2229 | 269.04533 | -29.40182 |    0.13 |   0 |   0 | 
2015-BLG-1008 | 265.25929 | -27.89000 | UK2018_n2_3_1_H_C31360 | 265.25922 | -27.88972 |    1.03 |   0 |   0 | 
2015-BLG-1010 | 268.14821 | -29.72533 | UK2018_s5_2_2_H_C36561 | 268.14847 | -29.72503 |    1.36 |   0 |   0 | 
2015-BLG-1026 | 267.81558 | -28.04394 | UK2018_s1_1_2_K_C12497 | 267.81558 | -28.04392 |    0.09 |   0 |   0 | 
2015-BLG-1062 | 268.83496 | -29.51708 | UK2018_s6_3_1_H_C37046 | 268.83527 | -29.51692 |    1.14 |   0 |   0 | 
2015-BLG-1065 | 268.30562 | -28.56758 | UK2018_s4_3_1_H_C56192 | 268.30559 | -28.56744 |    0.53 |   0 |   0 | 
2015-BLG-1100 | 263.66904 | -29.88519 | UK2018_n4_1_1_H_C19190 | 263.66908 | -29.88522 |    0.15 |   0 |   0 | 
2015-BLG-1101 | 268.09108 | -29.28453 | UK2018_s5_1_3_H_C39548 | 268.09121 | -29.28499 |    1.71 |   0 |   0 | 
2015-BLG-1117 | 268.07958 | -28.13381 | UK2018_s4_3_4_H_C55233 | 268.07968 | -28.13386 |    0.36 |   0 |   0 | 
2015-BLG-1129 | 266.41312 | -27.16003 | UK2018_n1_2_2_H_C52512 | 266.41309 | -27.16002 |    0.12 |   0 |   0 | 
2015-BLG-1136 | 268.55758 | -28.70836 | UK2018_s4_4_2_H_C12324 | 268.55750 | -28.70883 |    1.71 |   0 |   0 | 
2015-BLG-1144 | 268.68233 | -29.38269 | UK2018_s6_2_4_H_C9543 | 268.68201 | -29.38317 |    1.99 |   0 |   0 | 
2015-BLG-1153 | 264.31779 | -29.42639 | UK2018_n4_1_3_H_C24631 | 264.31777 | -29.42639 |    0.07 |   0 |   0 | 
2015-BLG-1157 | 268.13004 | -28.34897 | UK2018_s4_2_4_H_C57795 | 268.13022 | -28.34864 |    1.32 |   0 |   0 | 
2015-BLG-1162 | 268.36317 | -29.41208 | UK2018_s5_3_2_H_C65085 | 268.36319 | -29.41210 |    0.09 |   0 |   0 | 
2015-BLG-1185 | 268.89233 | -27.57069 | UK2018_s3_2_3_H_C24794 | 268.89233 | -27.57069 |    0.02 |   0 |   0 | 
2015-BLG-1197 | 264.22992 | -29.78203 | UK2018_n4_1_2_H_C45005 | 264.22997 | -29.78205 |    0.18 |   0 |   0 | 
2015-BLG-1201 | 268.22467 | -29.45278 | UK2018_s5_3_2_H_C52223 | 268.22445 | -29.45302 |    1.11 |   0 |   0 | 
2015-BLG-1203 | 268.91467 | -27.92889 | UK2018_s3_2_2_H_C50313 | 268.91507 | -27.92874 |    1.39 |   0 |   0 | 
2015-BLG-1204 | 268.92708 | -29.38431 | UK2018_s6_1_3_H_C7876 | 268.92710 | -29.38430 |    0.06 |   0 |   0 | 
2015-BLG-1205 | 268.92325 | -29.32300 | UK2018_s6_1_3_H_C28135 | 268.92358 | -29.32227 |    2.82 |   0 |   0 | 
2015-BLG-1210 | 263.63187 | -29.18047 | UK2018_n4_4_4_H_C31452 | 263.63189 | -29.18047 |    0.05 |   0 |   0 | 
2015-BLG-1212 | 268.10329 | -29.18111 | UK2018_s5_4_3_H_C2252 | 268.10323 | -29.18109 |    0.21 |   0 |   0 | 
2015-BLG-1223 | 265.69033 | -27.52833 | UK2018_n2_3_3_H_C11685 | 265.69032 | -27.52836 |    0.11 |   0 |   0 | 
2015-BLG-1224 | 265.38779 | -27.44711 | UK2018_n2_4_3_H_C32148 | 265.38801 | -27.44743 |    1.34 |   0 |   0 | 
2015-BLG-1227 | 268.32742 | -29.65283 | UK2018_s5_2_2_H_C59190 | 268.32701 | -29.65297 |    1.36 |   0 |   0 | 
2015-BLG-1236 | 265.42138 | -27.80928 | UK2018_n2_4_2_H_C49436 | 265.42139 | -27.80927 |    0.06 |   0 |   0 | 
2015-BLG-1249 | 266.33700 | -26.58481 | UK2018_n1_3_3_H_C29763 | 266.33700 | -26.58484 |    0.12 |   0 |   0 | 
2015-BLG-1251 | 267.39050 | -29.21750 | UK2018_s5_1_4_H_C61219 | 267.39049 | -29.21747 |    0.11 |   0 |   0 | 
2015-BLG-1255 | 268.81796 | -29.15358 | UK2018_s6_3_4_H_C14360 | 268.81797 | -29.15361 |    0.10 |   0 |   0 | 
2015-BLG-1270 | 264.00358 | -29.20922 | UK2018_n4_3_4_H_C24279 | 264.00356 | -29.20921 |    0.09 |   0 |   0 | 
2015-BLG-1271 | 264.43871 | -29.50514 | UK2018_n4_2_3_H_C5897 | 264.43808 | -29.50559 |    2.55 |   0 |   0 | 
2015-BLG-1272 | 268.52763 | -29.01031 | UK2018_s6_4_4_H_C56172 | 268.52748 | -29.00980 |    1.88 |   0 |   0 | 
2015-BLG-1273 | 268.53004 | -28.87622 | UK2018_s4_1_2_H_C26286 | 268.52977 | -28.87611 |    0.95 |   0 |   0 | 
2015-BLG-1274 | 267.88079 | -29.43294 | UK2018_s5_3_1_H_C61920 | 267.88073 | -29.43260 |    1.25 |   0 |   0 | 
2015-BLG-1285 | 264.84688 | -27.82028 | UK2018_n2_4_1_H_C48189 | 264.84684 | -27.82029 |    0.12 |   0 |   0 | 
2015-BLG-1287 | 268.31646 | -29.38669 | UK2018_s5_2_3_H_C8001 | 268.31646 | -29.38669 |    0.02 |   0 |   0 | 
2015-BLG-1291 | 269.26546 | -29.45967 | UK2018_s6_3_2_H_C59043 | 269.26552 | -29.45968 |    0.20 |   0 |   0 | 
2015-BLG-1297 | 268.08754 | -29.68381 | UK2018_s5_1_2_H_C48306 | 268.08738 | -29.68389 |    0.59 |   0 |   0 | 
2015-BLG-1300 | 268.19233 | -29.31158 | UK2018_s5_2_3_H_C32082 | 268.19293 | -29.31119 |    2.35 |   0 |   0 | 
2015-BLG-1317 | 268.08746 | -29.68394 | UK2018_s5_1_2_H_C48306 | 268.08738 | -29.68389 |    0.31 |   0 |   0 | 
2015-BLG-1329 | 267.85442 | -28.39769 | UK2018_s4_1_4_H_C41078 | 267.85442 | -28.39769 |    0.02 |   0 |   0 | 
2015-BLG-1337 | 268.75446 | -29.04714 | UK2018_s6_3_4_H_C50940 | 268.75437 | -29.04713 |    0.28 |   0 |   0 | 
2015-BLG-1340 | 268.12404 | -28.75242 | UK2018_s4_2_1_H_C67635 | 268.12402 | -28.75245 |    0.14 |   0 |   0 | 
2015-BLG-1341 | 268.56367 | -28.35017 | UK2018_s4_1_3_H_C56551 | 268.56342 | -28.35007 |    0.86 |   0 |   0 | 
2015-BLG-1342 | 267.57621 | -29.57747 | UK2018_s5_4_1_H_C16670 | 267.57624 | -29.57746 |    0.11 |   0 |   0 | 
2015-BLG-1344 | 268.93454 | -27.94003 | UK2018_s3_2_2_H_C46460 | 268.93504 | -27.94061 |    2.63 |   0 |   0 | 
2015-BLG-1368 | 267.94508 | -29.57517 | UK2018_s5_4_2_H_C14731 | 267.94507 | -29.57517 |    0.04 |   0 |   0 | 
2015-BLG-1370 | 268.95667 | -29.12411 | UK2018_s6_4_3_H_C20885 | 268.95667 | -29.12411 |    0.01 |   0 |   0 | 
2015-BLG-1371 | 268.66587 | -29.09394 | UK2018_s6_3_4_H_C35312 | 268.66590 | -29.09395 |    0.08 |   0 |   0 | 
2015-BLG-1381 | 268.08158 | -29.02053 | UK2018_s5_4_3_H_C53619 | 268.08118 | -29.02045 |    1.30 |   0 |   0 | 
